"GENDER" "RACE" "WKSESL" "C1GMOTOR" "C1FMOTOR" "T1INTERN" "T1EXTERN" "T1INTERP" "T1CONTRO" "P1FIRKDG" "AGEBASELINE" "score" "time" "CHILDID"
"43667" "female" "white, non-Hispanic" 0.03 6 5 1.25 1 3 3.5 1 77 0.83 5.8309518948453 "19"
"65076" "female" "white, non-Hispanic" 0.03 6 5 1.25 1 3 3.5 1 77 1.06 7.61577310586391 "19"
"86485" "female" "white, non-Hispanic" 0.03 6 5 1.25 1 3 3.5 1 77 1.46 9.74679434480896 "19"
"867" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 -0.18 0 "20"
"22276" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 0.7 3.60555127546399 "20"
"43685" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 1.36 6 "20"
"65094" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 1.43 7.68114574786861 "20"
"86503" "male" "white, non-Hispanic" 0.1 8 8 1.5 1 3.8 3.5 1 73 1.9 9.74679434480896 "20"
"908" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 -0.89 0 "21"
"22317" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 0.23 3.46410161513775 "21"
"43726" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 0.99 6 "21"
"65135" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 1.39 7.68114574786861 "21"
"86544" "female" "white, non-Hispanic" 0.77 5 8 1 2.4 2.4 2.5 1 73 2.08 9.74679434480896 "21"
"911" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 -0.53 0 "22"
"22320" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 0.45 3.46410161513775 "22"
"43729" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 1.03 6 "22"
"65138" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 0.98 7.68114574786861 "22"
"86547" "female" "white, non-Hispanic" 0.17 8 7 1.25 1 3.2 3.25 1 82 1.19 9.74679434480896 "22"
"1011" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 -1.72 0 "23"
"22420" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 -0.24 3.74165738677394 "23"
"43829" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 0.06 6.08276253029822 "23"
"65238" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 0.36 7.68114574786861 "23"
"86647" "female" "Asian" -0.91 6 5 1.5 2.8 2 2 1 73 0.62 9.8488578017961 "23"
"1033" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 -0.83 0 "24"
"22442" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 0.44 3.3166247903554 "24"
"43851" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 0.8 5.91607978309962 "24"
"65260" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 1 7.61577310586391 "24"
"86669" "male" "white, non-Hispanic" -0.21 2 5 1 1 4 4 1 69 1.43 9.64365076099295 "24"
"1160" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 -1.1 0 "25"
"22569" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 -0.01 3.60555127546399 "25"
"43978" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 1.03 6 "25"
"65387" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 1.22 7.68114574786861 "25"
"86796" "male" "white, non-Hispanic" 1 8 4 1.5 1.4 3.6 3.25 1 71 1.96 9.79795897113271 "25"
"1189" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 -0.27 0 "26"
"22598" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 0.41 3.60555127546399 "26"
"44007" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 1.04 6 "26"
"65416" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 1.21 7.68114574786861 "26"
"86825" "female" "white, non-Hispanic" 1.13 6 9 1.75 1 4 3.75 1 69 1.62 9.8488578017961 "26"
"1204" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 -1.29 0 "27"
"22613" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 0.19 3.60555127546399 "27"
"44022" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 0.81 6 "27"
"65431" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 0.98 7.68114574786861 "27"
"86840" "female" "white, non-Hispanic" 1.06 1 6 1.5 1.8 2.8 2.5 1 65 1.31 9.74679434480896 "27"
"1210" "male" "white, non-Hispanic" 0.61 5 9 2 2.4 2 2 1 65 -0.7 0 "28"
"22619" "male" "white, non-Hispanic" 0.61 5 9 2 2.4 2 2 1 65 0.52 3.60555127546399 "28"
"44028" "male" "white, non-Hispanic" 0.61 5 9 2 2.4 2 2 1 65 0.81 6 "28"
"65437" "male" "white, non-Hispanic" 0.61 5 9 2 2.4 2 2 1 65 1 7.68114574786861 "28"
"86846" "male" "white, non-Hispanic" 0.61 5 9 2 2.4 2 2 1 65 1.4 9.74679434480896 "28"
"1223" "female" "white, non-Hispanic" 0.31 7 8 2 1.4 3 3 1 70 -0.15 0 "29"
"22632" "female" "white, non-Hispanic" 0.31 7 8 2 1.4 3 3 1 70 0.66 3.60555127546399 "29"
"44041" "female" "white, non-Hispanic" 0.31 7 8 2 1.4 3 3 1 70 1 6 "29"
"65450" "female" "white, non-Hispanic" 0.31 7 8 2 1.4 3 3 1 70 1.2 7.68114574786861 "29"
"86859" "female" "white, non-Hispanic" 0.31 7 8 2 1.4 3 3 1 70 1.35 9.74679434480896 "29"
"1338" "female" "white, non-Hispanic" 0.7 8 6 2.25 2.2 3 3.25 1 66 -0.42 0 "30"
"22747" "female" "white, non-Hispanic" 0.7 8 6 2.25 2.2 3 3.25 1 66 0.21 3.46410161513775 "30"
"44156" "female" "white, non-Hispanic" 0.7 8 6 2.25 2.2 3 3.25 1 66 0.8 5.91607978309962 "30"
"65565" "female" "white, non-Hispanic" 0.7 8 6 2.25 2.2 3 3.25 1 66 0.86 7.61577310586391 "30"
"86974" "female" "white, non-Hispanic" 0.7 8 6 2.25 2.2 3 3.25 1 66 1.35 9.74679434480896 "30"
"1359" "male" "white, non-Hispanic" 1.05 8 8 1.25 1.6 3 3 1 71 0.04 0 "31"
"22768" "male" "white, non-Hispanic" 1.05 8 8 1.25 1.6 3 3 1 71 0.75 3.3166247903554 "31"
"44177" "male" "white, non-Hispanic" 1.05 8 8 1.25 1.6 3 3 1 71 1.35 5.91607978309962 "31"
"65586" "male" "white, non-Hispanic" 1.05 8 8 1.25 1.6 3 3 1 71 1.58 7.61577310586391 "31"
"86995" "male" "white, non-Hispanic" 1.05 8 8 1.25 1.6 3 3 1 71 1.78 9.64365076099295 "31"
"1371" "male" "white, non-Hispanic" 0.57 8 6 1 1.6 2.6 3 1 71 -0.32 0 "32"
"22780" "male" "white, non-Hispanic" 0.57 8 6 1 1.6 2.6 3 1 71 0.54 3.3166247903554 "32"
"44189" "male" "white, non-Hispanic" 0.57 8 6 1 1.6 2.6 3 1 71 1 5.91607978309962 "32"
"65598" "male" "white, non-Hispanic" 0.57 8 6 1 1.6 2.6 3 1 71 1.04 7.61577310586391 "32"
"87007" "male" "white, non-Hispanic" 0.57 8 6 1 1.6 2.6 3 1 71 1.6 9.64365076099295 "32"
"1394" "female" "Hispanic" -1.04 0 2 3.5 1 2.2 4 1 72 -1.7 0 "33"
"22803" "female" "Hispanic" -1.04 0 2 3.5 1 2.2 4 1 72 -0.06 3.46410161513775 "33"
"44212" "female" "Hispanic" -1.04 0 2 3.5 1 2.2 4 1 72 0.48 5.91607978309962 "33"
"65621" "female" "Hispanic" -1.04 0 2 3.5 1 2.2 4 1 72 0.58 7.61577310586391 "33"
"87030" "female" "Hispanic" -1.04 0 2 3.5 1 2.2 4 1 72 0.67 9.79795897113271 "33"
"1402" "male" "white, non-Hispanic" -0.35 8 8 1.5 1.8 2.4 2.75 1 76 -0.79 0 "34"
"22811" "male" "white, non-Hispanic" -0.35 8 8 1.5 1.8 2.4 2.75 1 76 0.04 3.46410161513775 "34"
"44220" "male" "white, non-Hispanic" -0.35 8 8 1.5 1.8 2.4 2.75 1 76 0.43 5.91607978309962 "34"
"65629" "male" "white, non-Hispanic" -0.35 8 8 1.5 1.8 2.4 2.75 1 76 0.8 7.61577310586391 "34"
"87038" "male" "white, non-Hispanic" -0.35 8 8 1.5 1.8 2.4 2.75 1 76 0.93 9.69535971483266 "34"
"1435" "male" "white, non-Hispanic" -0.06 8 7 1.25 1.6 3 2.5 1 77 -0.84 0 "35"
"22844" "male" "white, non-Hispanic" -0.06 8 7 1.25 1.6 3 2.5 1 77 0.19 3.46410161513775 "35"
"44253" "male" "white, non-Hispanic" -0.06 8 7 1.25 1.6 3 2.5 1 77 0.99 5.91607978309962 "35"
"65662" "male" "white, non-Hispanic" -0.06 8 7 1.25 1.6 3 2.5 1 77 1.19 7.68114574786861 "35"
"87071" "male" "white, non-Hispanic" -0.06 8 7 1.25 1.6 3 2.5 1 77 1.37 9.74679434480896 "35"
"1439" "female" "white, non-Hispanic" 0.33 6 3 1.75 3.8 2 2 1 74 -1.22 0 "36"
"22848" "female" "white, non-Hispanic" 0.33 6 3 1.75 3.8 2 2 1 74 -0.28 3.46410161513775 "36"
"44257" "female" "white, non-Hispanic" 0.33 6 3 1.75 3.8 2 2 1 74 0.62 5.91607978309962 "36"
"65666" "female" "white, non-Hispanic" 0.33 6 3 1.75 3.8 2 2 1 74 1.02 7.68114574786861 "36"
"87075" "female" "white, non-Hispanic" 0.33 6 3 1.75 3.8 2 2 1 74 1.47 9.74679434480896 "36"
"1441" "male" "white, non-Hispanic" -0.14 8 7 1.25 1 3.8 3.5 1 75 -0.44 0 "37"
"22850" "male" "white, non-Hispanic" -0.14 8 7 1.25 1 3.8 3.5 1 75 0.56 3.46410161513775 "37"
"44259" "male" "white, non-Hispanic" -0.14 8 7 1.25 1 3.8 3.5 1 75 0.99 5.91607978309962 "37"
"65668" "male" "white, non-Hispanic" -0.14 8 7 1.25 1 3.8 3.5 1 75 1.27 7.68114574786861 "37"
"87077" "male" "white, non-Hispanic" -0.14 8 7 1.25 1 3.8 3.5 1 75 1.45 9.74679434480896 "37"
"1485" "male" "white, non-Hispanic" 0 6 8 1 1.2 2.4 2.67 2 74 -1.03 0 "38"
"22894" "male" "white, non-Hispanic" 0 6 8 1 1.2 2.4 2.67 2 74 0.26 3.60555127546399 "38"
"44303" "male" "white, non-Hispanic" 0 6 8 1 1.2 2.4 2.67 2 74 0.97 6.16441400296898 "38"
"65712" "male" "white, non-Hispanic" 0 6 8 1 1.2 2.4 2.67 2 74 1.38 7.68114574786861 "38"
"87121" "male" "white, non-Hispanic" 0 6 8 1 1.2 2.4 2.67 2 74 1.79 9.8488578017961 "38"
"1486" "male" "white, non-Hispanic" 1.02 7 6 1.25 1 3.2 3.33 2 66 -1.05 0 "39"
"22895" "male" "white, non-Hispanic" 1.02 7 6 1.25 1 3.2 3.33 2 66 0.4 3.60555127546399 "39"
"44304" "male" "white, non-Hispanic" 1.02 7 6 1.25 1 3.2 3.33 2 66 1.13 5.91607978309962 "39"
"65713" "male" "white, non-Hispanic" 1.02 7 6 1.25 1 3.2 3.33 2 66 1.22 7.68114574786861 "39"
"87122" "male" "white, non-Hispanic" 1.02 7 6 1.25 1 3.2 3.33 2 66 1.63 9.8488578017961 "39"
"1613" "female" "Hispanic" -0.57 3 6 1.5 1.4 2.6 3 1 72 -1.21 0 "40"
"23022" "female" "Hispanic" -0.57 3 6 1.5 1.4 2.6 3 1 72 0.01 3.46410161513775 "40"
"44431" "female" "Hispanic" -0.57 3 6 1.5 1.4 2.6 3 1 72 0.83 6 "40"
"65840" "female" "Hispanic" -0.57 3 6 1.5 1.4 2.6 3 1 72 1.16 7.68114574786861 "40"
"87249" "female" "Hispanic" -0.57 3 6 1.5 1.4 2.6 3 1 72 1.2 9.79795897113271 "40"
"1807" "male" "other" -0.2 6 5 1.5 2.4 2.4 2 1 66 -1.07 0 "41"
"23216" "male" "other" -0.2 6 5 1.5 2.4 2.4 2 1 66 -0.02 3.3166247903554 "41"
"44625" "male" "other" -0.2 6 5 1.5 2.4 2.4 2 1 66 0.79 5.91607978309962 "41"
"66034" "male" "other" -0.2 6 5 1.5 2.4 2.4 2 1 66 0.81 7.54983443527075 "41"
"87443" "male" "other" -0.2 6 5 1.5 2.4 2.4 2 1 66 1.54 9.69535971483266 "41"
"1937" "male" "Hispanic" -0.53 8 7 1.25 1 2.25 2.67 1 66 -1.04 0 "42"
"23346" "male" "Hispanic" -0.53 8 7 1.25 1 2.25 2.67 1 66 -0.52 3.3166247903554 "42"
"44755" "male" "Hispanic" -0.53 8 7 1.25 1 2.25 2.67 1 66 0.61 6 "42"
